Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,green,red,nir08,swir16,swir22,NDMI,MNDWI,pet,ppt,tmax,tmin,q
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,9881.0,11481.0,12405.0,11761.5,7791.0,7746.0,0.1855383392928079,0.1955947367044225,174.2,8.3,35.76,21.029999,0.4
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,,9550.0,,17658.5,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,124.1,175.0,25.41,14.099999,8.8
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,10246.0,10824.0,10213.5,19147.0,15023.5,11040.0,-0.0832931533269042,-0.2528054645570494,127.5,156.10000000000002,26.07,15.25,7.800000000000001
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,,10943.0,,14887.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,129.7,194.7,27.599998,15.96,16.1
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,,9502.5,,16828.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,129.2,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,8555.0,9305.0,9014.5,13376.5,10536.5,8924.0,0.1296506609730608,0.0426722630290309,98.6,168.5,27.849998,16.75,8.4
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,8910.0,9878.0,10115.0,15182.0,16883.0,13031.0,0.0794308606161066,-0.1243936390095741,105.5,107.4,30.33,18.77,5.4
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,9062.0,9929.5,9890.0,14511.5,11883.0,9968.5,0.1562998405103662,0.0072659031854489,103.700005,110.1,30.029999,18.6,5.5
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,9470.5,10521.5,10573.5,14082.5,13291.5,11540.0,0.1319435593991802,-0.0563888950435377,111.8,108.2,30.519999,19.84,5.4
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,9763.0,10697.5,11162.5,10464.5,8177.0,7864.5,-0.0118615609597573,-0.1570906538390067,98.200005,170.3,28.01,17.0,8.5
-28.141944,26.417778,2011-01-04,94.718,227.9,132.0,9488.0,10802.0,11243.5,14123.5,9727.0,8519.5,0.020982245792022,-0.1674950823832984,93.8,187.0,28.17,16.539999,9.3
