Latitude,Longitude,Sample Date,pet,ppt,tmax,tmin,q
-28.760833,17.730278,02-01-2011,174.2,8.3,35.76,21.029999,0.4
-26.861111,28.884722,03-01-2011,124.1,175.0,25.41,14.099999,8.8
-26.45,28.085833,03-01-2011,127.5,156.10000000000002,26.07,15.25,7.800000000000001
-27.671111,27.236944,03-01-2011,129.7,194.70000000000002,27.599998,15.96,16.1
-27.356667,27.286389,03-01-2011,129.2,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,04-01-2011,98.6,168.5,27.849998,16.75,8.4
-25.127778,27.628889,04-01-2011,105.5,107.4,30.33,18.77,5.4
-25.20639,27.558,04-01-2011,103.700005,110.10000000000001,30.029999,18.6,5.5
-24.69514,27.40906,04-01-2011,111.8,108.2,30.519999,19.84,5.4
-26.98472222,26.63227778,04-01-2011,98.200005,170.3,28.01,17.0,8.5
-28.141944,26.417778,04-01-2011,93.8,187.0,28.17,16.539999,9.3
-27.398611,26.614722,04-01-2011,100.9,173.20000000000002,28.359999,17.039999,8.700000000000001
-33.501667,21.624167,04-01-2011,100.200005,15.700000000000001,29.51,13.78,0.8
-32.502778,19.535833,04-01-2011,119.9,4.0,34.01,16.359999,0.2
-25.45963889,28.26430556,04-01-2011,103.6,122.4,28.779999,17.5,6.1000000000000005
-27.495556,26.074722,04-01-2011,99.700005,162.8,28.59,16.6,8.1
-26.648056,27.089444,05-01-2011,83.5,156.60000000000002,26.83,15.94,7.800000000000001
-26.970278,27.211111,05-01-2011,82.1,169.5,27.0,16.19,8.5
-27.38972222,26.46388889,05-01-2011,83.200005,170.20000000000002,28.48,17.14,8.5
-27.044444,27.005,05-01-2011,82.4,172.0,27.4,16.51,8.6
-30.830556,26.921389,06-01-2011,57.0,138.0,28.33,14.08,6.9
-27.00222,28.76528,06-01-2011,70.0,179.4,25.63,14.28,9.0
-27.02314,28.59389,06-01-2011,72.4,179.20000000000002,25.96,14.61,9.0
-30.679722,26.7125,06-01-2011,59.8,135.3,29.42,14.74,6.800000000000001
-30.160091,27.40124,06-01-2011,57.4,207.0,27.47,14.9,36.9
-32.595833,19.009444,06-01-2011,52.7,4.5,33.85,16.58,0.2
-25.99136,27.84208,10-01-2011,173.2,160.3,26.599998,16.4,8.0
-26.73806,27.59194,10-01-2011,179.40001,166.60000000000002,26.349998,15.719999,8.3
-26.45,28.085833,10-01-2011,172.90001,156.10000000000002,26.07,15.25,7.800000000000001
-30.86013889,29.07125,10-01-2011,138.0,211.9,25.9,16.4,86.10000000000001
-27.356667,27.286389,10-01-2011,185.8,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,11-01-2011,191.7,168.5,27.849998,16.75,8.4
-25.73411,27.21422,11-01-2011,182.5,150.70000000000002,27.58,16.199999,7.5
-26.98472222,26.63227778,11-01-2011,192.0,170.3,28.01,17.0,8.5
-27.398611,26.614722,11-01-2011,197.40001,173.20000000000002,28.359999,17.039999,8.700000000000001
-27.671111,27.236944,11-01-2011,192.1,194.70000000000002,27.599998,15.96,16.1
-29.160278,26.573333,11-01-2011,199.1,195.5,28.75,15.639999,18.3
-34.250556,20.9925,11-01-2011,140.2,13.700000000000001,29.32,17.08,0.7000000000000001
-25.45963889,28.26430556,11-01-2011,182.8,122.4,28.779999,17.5,6.1000000000000005
-25.81048333,27.90955222,12-01-2011,164.1,149.4,27.599998,17.34,7.5
-27.273889,28.49,12-01-2011,164.3,192.70000000000002,25.869999,14.65,18.0
-27.4275,28.525833,12-01-2011,163.6,202.5,25.769999,14.4,34.2
-28.883333,27.89,12-01-2011,164.2,268.2,25.83,14.5199995,108.7
-27.00222,28.76528,13-01-2011,161.6,179.4,25.63,14.28,9.0
-27.02314,28.59389,13-01-2011,163.1,179.20000000000002,25.96,14.61,9.0
-30.534167,24.961944,13-01-2011,205.0,94.7,30.599998,15.96,4.7
-28.460833,21.248889,13-01-2011,244.7,74.9,35.149998,19.85,3.7
-29.658056,25.973333,14-01-2011,186.90001,146.9,28.89,15.41,7.300000000000001
-28.760833,17.730278,16-01-2011,257.5,8.3,35.76,21.029999,0.4
-25.513889,31.224444,17-01-2011,149.40001,144.4,27.81,18.8,7.2
-26.861111,28.884722,17-01-2011,161.0,175.0,25.41,14.099999,8.8
-31.554722,29.245556,17-01-2011,123.700005,188.20000000000002,24.93,18.02,73.5
-28.058889,30.373611,17-01-2011,158.0,295.0,26.0,15.11,117.60000000000001
-25.127778,27.628889,18-01-2011,169.3,107.4,30.33,18.77,5.4
-25.20639,27.558,18-01-2011,170.0,110.10000000000001,30.029999,18.6,5.5
-24.69514,27.40906,18-01-2011,172.90001,108.2,30.519999,19.84,5.4
-25.681111,31.783333,18-01-2011,149.2,123.7,30.07,20.27,6.2
-27.802778,28.768333,18-01-2011,159.1,222.8,25.24,13.73,64.2
-27.398611,26.614722,18-01-2011,191.90001,173.20000000000002,28.359999,17.039999,8.700000000000001
-31.104278,29.399722,18-01-2011,134.1,200.4,25.68,17.84,78.9
-31.396,29.2651,18-01-2011,134.5,187.3,26.18,19.14,64.5
-33.38056,19.30167,18-01-2011,194.3,9.3,29.72,13.929999,0.5
